,Date,Time,AM/PM,Code,Range,Result
8472,2008-01-03,09:48,AM,f0ujypUS,85.701022,M
7308,2008-01-03,09:56,AM,fcmuWnae,65.832364,M
9182,2008-01-03,01:23,PM,3XLkeV5N,75.108965,M
924,2008-01-03,01:26,PM,DMHzqIkE,66.565125,M
7032,2008-01-03,02:24,PM,B9xClbXw,68.12841800000001,H
9028,2008-01-03,03:02,PM,5eFz0dZe,60.534738,M
4894,2008-01-03,04:28,PM,4qkZokQT,87.037189,M
1291,2008-01-03,05:57,PM,Gl5LVH0n,84.410827,H
4017,2008-01-03,06:03,PM,ONzZmQux,55.63750699999999,M
8304,2008-01-03,06:07,PM,tMfn5vvu,74.425925,H
535,2008-01-03,09:44,PM,kHt4Fs2v,69.23704000000001,M
973,2008-01-03,09:46,PM,DFJ7J8NB,57.438587,H
3946,2008-01-03,11:13,PM,fO8I6sjT,53.63989,H
9149,2008-01-03,11:27,PM,TBkv13WD,85.61115699999999,M
7785,2008-01-03,12:51,PM,TOXOWUt0,79.127728,H
9250,2008-01-04,01:22,AM,tXuTMtuY,76.79015,H
8260,2008-01-04,01:48,AM,AxMC3cVz,91.640174,M
8989,2008-01-04,03:39,AM,cZKWTU9V,75.339235,M
9530,2008-01-04,04:21,AM,jruuq3p5,77.65109100000001,M
1314,2008-01-04,06:43,AM,VUE7fkhp,53.302319,M
9666,2008-01-04,08:10,AM,ZKgjpvH1,77.1176,H
127,2008-01-04,10:17,AM,5a9rPNLA,79.92295,M
5268,2008-01-04,11:01,AM,9kDUWf4E,80.926405,M
2855,2008-01-04,11:05,AM,zweP0pq6,76.02860600000001,H
2743,2008-01-04,01:18,PM,eAQMobDT,55.652565,M
9293,2008-01-04,02:05,PM,nKPGxPX9,79.331182,M
5182,2008-01-04,02:17,PM,CVZJg645,48.480765999999996,M
9753,2008-01-04,02:47,PM,YGa4LG8x,77.692104,M
9704,2008-01-04,03:50,PM,1QsQEqTK,76.604056,H
3050,2008-01-04,04:18,PM,iUJZwbYU,73.603543,H
2272,2008-01-04,04:22,PM,xteKJvV4,88.542681,M
8064,2008-01-04,05:46,PM,mzNkOef4,70.089584,H
7427,2008-01-04,07:31,PM,LV04xl5K,63.79352900000001,M
2510,2008-01-04,07:53,PM,UcHwOYHF,59.06639200000001,M
2003,2008-01-04,09:07,PM,W1MhAflV,68.389177,M
770,2008-01-04,09:25,PM,wIsUvMEg,74.58199499999999,M
7495,2008-01-04,09:30,PM,cXF2rIC3,59.844460999999995,H
2090,2008-01-04,09:37,PM,LczcdhAF,55.553658999999996,M
5769,2008-01-04,12:34,PM,hEwT9k9P,76.667074,M
9637,2008-01-04,12:43,PM,dK943XCS,63.277770999999994,H
6670,2008-01-05,01:43,AM,qqRphJsx,83.38453100000001,M
4817,2008-01-05,01:44,AM,lAKiQqQG,66.401042,M
5278,2008-01-05,02:19,AM,SAQqmraV,44.501087,M
3720,2008-01-05,02:37,AM,XnJyqn73,73.210396,M
2076,2008-01-05,04:29,AM,3eFCNwHO,73.004474,H
7261,2008-01-05,10:46,AM,L4P0Ll5h,92.64360500000001,M
5083,2008-01-05,01:54,PM,VyX8YZFF,87.804281,H
673,2008-01-05,02:53,PM,t1jCLgBP,75.886673,M
7746,2008-01-05,04:41,PM,KlSJNGdJ,93.268245,M
1541,2008-01-05,04:51,PM,L7AmIgcA,71.975628,M
1755,2008-01-05,07:00,PM,4Kwj3PNq,72.173326,M
3674,2008-01-05,08:45,PM,Up4kSHHC,68.157551,M
5628,2008-01-05,08:53,PM,4OqwHo3t,67.623138,M
7687,2008-01-05,09:06,PM,RZ44l1lA,52.687695999999995,M
1186,2008-01-05,12:12,PM,KzPDz25E,67.757814,M
2598,2008-01-06,01:41,AM,S17NIWJq,72.634447,H
3456,2008-01-06,01:48,AM,aVRKAOly,67.07915,M
6932,2008-01-06,01:49,AM,kCXeOdEz,77.95135400000001,H
2371,2008-01-06,02:54,AM,2iIxauKi,71.549028,M
6111,2008-01-06,04:00,AM,ZXEOIi4w,93.958803,H
2060,2008-01-06,04:59,AM,xGqir1p3,73.756394,M
228,2008-01-06,06:05,AM,AgO5QgWm,65.37163699999999,H
958,2008-01-06,08:09,AM,wSWoWZza,69.889579,H
5437,2008-01-06,08:12,AM,CvEotJiA,77.21113199999999,H
500,2008-01-06,08:21,AM,4J29zkCS,78.782768,M
90,2008-01-06,08:29,AM,2uVt4XNY,77.539449,M
1926,2008-01-06,09:30,AM,LSJHOYBb,40.949115,M
9444,2008-01-06,10:00,AM,F4TiZPWL,70.844133,H
5505,2008-01-06,10:57,AM,MAeHtqaU,60.446468,H
3580,2008-01-06,11:31,AM,Uiz5LPgO,45.665114,M
9361,2008-01-06,11:49,AM,9iCYJiNW,68.636813,M
1938,2008-01-06,12:33,AM,AwGOtcpK,64.209773,M
9652,2008-01-06,12:47,AM,SwEvFwZL,75.509698,H
8057,2008-01-06,01:39,PM,p2VIu23j,88.600474,M
3781,2008-01-06,01:48,PM,NBskRveL,75.987054,H
1018,2008-01-06,01:55,PM,BkL5zIbI,81.885418,H
9579,2008-01-06,02:32,PM,OnKBLUEL,72.66748199999999,H
1948,2008-01-06,03:20,PM,ixxvNbLm,68.096311,M
6152,2008-01-06,04:21,PM,7CUFnCU9,72.059476,M
6492,2008-01-06,05:09,PM,37Ggloai,73.643695,M
1166,2008-01-06,05:41,PM,XoR03jBk,45.493334000000004,H
4303,2008-01-06,05:43,PM,fPdN91Lh,54.993475,M
4475,2008-01-06,06:42,PM,U31Ka4vr,65.837745,M
6468,2008-01-06,06:50,PM,i10fCN7N,68.613585,M
3101,2008-01-06,07:05,PM,7H4LOqW8,59.066525,M
9079,2008-01-06,07:57,PM,eeClmx3V,78.81863299999999,M
2157,2008-01-06,08:32,PM,9EwCe8LC,85.21502199999999,M
5533,2008-01-06,09:13,PM,pKf1BW98,91.0205,M
3065,2008-01-06,10:50,PM,WoCMOXwi,64.772036,M
3683,2008-01-06,12:08,PM,UJqEhdf9,65.021906,M
3675,2008-01-06,12:31,PM,9oskdcCy,78.349814,H
3435,2008-01-07,02:30,AM,Ke1Dk4Mh,66.294137,M
6851,2008-01-07,02:43,AM,xFTxYS0B,77.630543,H
7185,2008-01-07,03:58,AM,m2GMa2qI,59.647932,M
1103,2008-01-07,05:03,AM,ErGikq6d,85.104252,M
4591,2008-01-07,05:35,AM,gAytmF5j,59.496612,M
5534,2008-01-07,06:15,AM,JnmwdPxU,66.325565,M
1354,2008-01-07,06:23,AM,w6Ow9Fvv,91.8383,M
2444,2008-01-07,07:33,AM,CmVefkL8,79.101063,M
7331,2008-01-07,07:43,AM,lo7FlGdN,63.714939,H
8940,2008-01-07,08:30,AM,XTXCxqCx,70.453923,M
746,2008-01-07,10:02,AM,p88dbFz2,85.104899,M
5497,2008-01-07,01:17,PM,U5kwWow0,66.019765,M
3153,2008-01-07,01:44,PM,hfiPnmfv,61.73709100000001,M
8378,2008-01-07,01:46,PM,cwnipNik,73.307567,M
4768,2008-01-07,02:27,PM,LJ6Elu6P,106.586646,H
3856,2008-01-07,03:54,PM,Q1RZYXTV,60.741013,M
3641,2008-01-07,04:27,PM,7PxQoj1X,70.712731,H
536,2008-01-07,04:57,PM,7RhCpNaO,74.100065,M
4394,2008-01-07,05:19,PM,ykeapVcA,87.491372,M
7014,2008-01-07,06:23,PM,v76dPjyf,67.029914,M
3157,2008-01-07,08:24,PM,nUsgXIQX,74.177419,H
5627,2008-01-07,09:29,PM,zJkyukpv,70.936815,M
6864,2008-01-07,09:47,PM,zlxYyD9V,64.724935,M
8117,2008-01-07,10:48,PM,GyyGYIjN,74.69648000000001,M
1640,2008-01-07,12:49,PM,fjakKVkx,69.997509,M
494,2008-01-08,01:27,AM,6DWWtLeF,55.789389,M
1288,2008-01-08,02:05,AM,arekwSdt,83.77861800000001,M
2772,2008-01-08,02:20,AM,Ujek2rIE,68.107106,M
9253,2008-01-08,02:22,AM,cSGnsSlD,86.87446700000001,M
9895,2008-01-08,03:06,AM,pQO0V1KK,55.628926,M
7846,2008-01-08,04:28,AM,gEdOy4ES,68.34553199999999,M
4968,2008-01-08,06:09,AM,9lTdUXGH,70.682571,M
6960,2008-01-08,08:06,AM,S8ccvCzF,80.999155,M
7967,2008-01-08,08:16,AM,ijk5kDbG,77.35977700000001,M
7504,2008-01-08,10:11,AM,Hu6KSmIl,76.579933,M
3228,2008-01-08,11:04,AM,phyLd4Zu,69.93487900000001,M
5089,2008-01-08,01:14,PM,AJXtTt7V,39.339059999999996,M
9483,2008-01-08,02:17,PM,u86Ua3uO,74.33455699999999,M
1923,2008-01-08,02:26,PM,WDbYme2M,88.28309399999999,M
3372,2008-01-08,03:13,PM,WdSU9mAE,69.960497,M
7678,2008-01-08,03:44,PM,BeaSoV0i,86.85278199999999,M
3710,2008-01-08,04:00,PM,NSzfYzCJ,68.493092,M
7062,2008-01-08,04:33,PM,coPb31zp,86.38625400000001,H
2089,2008-01-08,04:51,PM,txVk7jSC,80.708303,H
9070,2008-01-08,05:03,PM,r9FROTeR,87.4409,H
3062,2008-01-08,05:58,PM,EO9nfhDU,92.172624,H
9211,2008-01-08,06:10,PM,CxGSU8Hl,70.219849,M
6999,2008-01-08,06:30,PM,52gPcwfq,52.761672,M
2509,2008-01-08,07:15,PM,cMZxZF71,79.524506,H
7458,2008-01-08,07:15,PM,BOvaQBQI,85.611098,H
4748,2008-01-08,09:22,PM,pccGRgjo,66.37182299999999,H
1422,2008-01-08,09:40,PM,kQEreXlK,81.97973499999999,M
1334,2008-01-08,10:07,PM,Vb1zWedk,70.424495,M
7933,2008-01-08,12:20,PM,nE6tIMWM,51.645187,M
8805,2008-01-09,02:31,AM,mSS4dfca,53.891886,M
2714,2008-01-09,03:25,AM,7W3KGPFS,76.898655,H
7252,2008-01-09,04:52,AM,1haEFxMo,58.793443,M
4438,2008-01-09,06:52,AM,HPTBTTDq,84.169393,M
3089,2008-01-09,09:56,AM,R5uE0GXB,60.494087,M
7186,2008-01-09,11:14,AM,tUAlASzU,86.665943,M
9699,2008-01-09,11:36,AM,gR077P1D,85.884294,H
7582,2008-01-09,11:41,AM,opSEsYI2,79.166605,M
4965,2008-01-09,12:15,AM,KsQRWDLQ,80.841675,M
6688,2008-01-09,12:25,AM,SblwnEKJ,69.46287199999999,M
1101,2008-01-09,12:49,AM,LUyjx9mK,56.539941000000006,M
9347,2008-01-09,12:55,AM,rB8zLGYY,67.027171,M
5172,2008-01-09,01:00,PM,b1r6ifuH,64.168399,H
3404,2008-01-09,01:30,PM,KsHwO2bT,78.73612,M
4815,2008-01-09,02:01,PM,25iSj9hc,104.247182,M
7865,2008-01-09,03:15,PM,LvdQNmXd,65.76505300000001,H
9732,2008-01-09,03:23,PM,F76HLXMh,76.45858100000001,M
6941,2008-01-09,04:29,PM,i3TSfKY0,71.01282900000001,M
48,2008-01-09,04:37,PM,rtH8QYli,57.454403000000006,M
2280,2008-01-09,05:48,PM,51Y1saVP,54.826593,M
6852,2008-01-09,06:40,PM,znWmrq1X,71.343987,M
5050,2008-01-09,07:24,PM,6pChQGjO,44.881305,M
235,2008-01-09,09:21,PM,54Zj3zvH,73.329472,M
6839,2008-01-09,09:34,PM,5UsprHeP,79.179594,M
7561,2008-01-09,09:44,PM,OFpS9MPz,74.181282,M
5302,2008-01-09,09:47,PM,BldYFXud,86.37691,M
8857,2008-01-09,10:17,PM,gEQKssc8,79.48087,M
912,2008-01-09,11:02,PM,SzHBTZ77,69.15450899999999,M
1256,2008-01-09,11:05,PM,OyJtjfJL,64.69410400000001,H
6125,2008-01-10,01:33,AM,o356EFT5,75.67327900000001,H
6376,2008-01-10,02:06,AM,iaWLy3Up,63.865628,H
6570,2008-01-10,02:10,AM,DMkUAgKv,56.535971999999994,M
4360,2008-01-10,02:19,AM,6aqtBpXo,56.946082999999994,M
9646,2008-01-10,03:22,AM,JKdgJomc,83.022123,M
1284,2008-01-10,05:57,AM,TBtffrae,73.33394100000001,H
463,2008-01-10,07:23,AM,SRJFTBAo,72.615912,M
8506,2008-01-10,07:28,AM,uIuAXd8u,94.27261700000001,H
2075,2008-01-10,08:02,AM,1wH8oSUo,73.535443,M
965,2008-01-10,08:49,AM,RSuWAp9N,71.562263,M
1945,2008-01-10,09:37,AM,HmO8awOu,74.39751600000001,H
9837,2008-01-10,10:26,AM,Z1eJ7GbF,64.252783,M
2572,2008-01-10,11:18,AM,VymUtJJp,54.80560799999999,M
6129,2008-01-10,12:58,AM,oSoKgVyB,76.416873,M
9410,2008-01-10,01:05,PM,gy2FxpBl,67.304075,M
5644,2008-01-10,03:41,PM,q9aqqnnN,60.977227,H
8629,2008-01-10,03:45,PM,1pUghmHM,67.88589499999999,M
4115,2008-01-10,04:28,PM,4DwQiTbJ,73.873468,M
1056,2008-01-10,05:18,PM,AiTOGlOx,64.975656,M
5686,2008-01-10,05:19,PM,AHWtyrmW,61.137565,M
662,2008-01-10,06:31,PM,ZduJcS8G,93.32206,H
3275,2008-01-10,08:30,PM,Wqwa58DA,94.098415,H
1360,2008-01-10,10:03,PM,nm8Pq24Y,73.86666899999999,M
4185,2008-01-10,10:19,PM,M6SmEbK8,50.034876000000004,M
2036,2008-01-11,01:04,AM,aIcJQkzx,84.831474,M
8863,2008-01-11,01:45,AM,hImcdyvC,83.87979,M
7803,2008-01-11,04:21,AM,8b4BavgU,80.576698,M
6842,2008-01-11,06:47,AM,uXflMGCU,67.322466,H
4208,2008-01-11,09:43,AM,XlDcP0j3,79.206766,M
4724,2008-01-11,11:04,AM,VaJ3D6d7,66.24599,M
2953,2008-01-11,12:09,AM,Xx3FrtfN,80.33044699999999,M
8757,2008-01-11,01:23,PM,oT9upBxE,61.116613,M
222,2008-01-11,02:30,PM,z7YJAeCk,71.566462,M
1557,2008-01-11,02:59,PM,MiMyfZo1,79.768445,H
2039,2008-01-11,03:40,PM,pQnzdDWN,64.887095,M
3892,2008-01-11,03:45,PM,27xvRk8Q,74.12539699999999,M
4330,2008-01-11,05:05,PM,JSdgmNch,72.14350300000001,H
9118,2008-01-11,07:11,PM,cO8NHKxw,85.861845,H
8882,2008-01-11,08:17,PM,BBdO9mWz,90.819647,M
5381,2008-01-11,09:29,PM,2XW5QkGJ,72.76269599999999,M
7834,2008-01-11,09:49,PM,aYwxTIXj,51.758522,H
3161,2008-01-11,10:08,PM,lZcP6rlj,71.815782,H
4524,2008-01-11,10:33,PM,hsBxHnQV,66.798681,M
9292,2008-01-11,10:49,PM,weRC6L8b,76.061418,M
597,2008-01-11,11:37,PM,0yHBZ6md,72.814828,M
4205,2008-01-11,11:37,PM,fQeKrz2E,64.382584,M
3313,2008-01-11,11:39,PM,4InN2dPj,60.58118100000001,H
5804,2008-01-11,11:39,PM,kFP3gEcy,79.238315,H
5841,2008-01-12,02:02,AM,X2FW1shX,68.150391,M
8237,2008-01-12,02:29,AM,oQCbTQ6Z,76.67472099999999,H
81,2008-01-12,03:09,AM,T9wdwauG,74.770756,H
9269,2008-01-12,07:41,AM,HcFsStV6,50.385946000000004,H
5777,2008-01-12,07:56,AM,NSxamdhM,67.976322,M
1816,2008-01-12,08:54,AM,zbnPPNwE,56.93928100000001,H
9848,2008-01-12,12:03,AM,UNXWG131,63.994783999999996,M
878,2008-01-12,01:17,PM,px2sDRxs,48.787468,M
8021,2008-01-12,01:42,PM,FRXd02tw,65.269246,H
5004,2008-01-12,03:47,PM,uNHh0PAD,83.257521,M
6373,2008-01-12,05:15,PM,4fax7f7U,59.674639,M
1951,2008-01-12,05:58,PM,LYdTf5Ds,85.404138,H
5583,2008-01-12,05:59,PM,5vuMlbrQ,91.82985,H
5854,2008-01-12,07:49,PM,XgyFTk3o,61.307179000000005,M
635,2008-01-12,10:21,PM,eCx1ZLsL,68.573546,M
6577,2008-01-12,10:39,PM,JPaCxX2I,100.787801,H
8408,2008-01-12,11:03,PM,ZLdip9jJ,41.723361,H
2818,2008-01-12,11:26,PM,zCovd8sk,76.709283,H
1868,2008-01-12,12:01,PM,rMiSJP5N,65.745529,H
9773,2008-01-12,12:15,PM,z4xgBvXH,87.789061,M
7821,2008-01-13,01:51,AM,gCtqvIww,66.937673,H
885,2008-01-13,02:18,AM,lJpkSdBy,59.583224,H
6349,2008-01-13,07:21,AM,V6ap9mMy,91.516892,M
9509,2008-01-13,09:24,AM,5gs7AW4Y,64.645558,H
2680,2008-01-13,09:25,AM,KaqhJ2OP,89.906853,H
3763,2008-01-13,09:34,AM,FxZQTQp4,59.344761,H
2748,2008-01-13,01:40,PM,KhnUP7nW,92.94374300000001,H
1226,2008-01-13,02:00,PM,n5F3PdLb,51.626022999999996,M
1343,2008-01-13,02:20,PM,VmsHEBFq,77.450411,M
1622,2008-01-13,04:06,PM,R89GKunk,63.996113,H
78,2008-01-13,05:24,PM,5oQtFJxV,63.013828000000004,H
1666,2008-01-13,05:24,PM,qiqWrjQP,67.499747,M
1298,2008-01-13,06:57,PM,CDrpzuMK,64.672761,H
3743,2008-01-13,07:14,PM,vbsmkAP4,69.570403,M
3895,2008-01-13,07:36,PM,ES2ypsee,76.960497,M
5734,2008-01-13,11:42,PM,HtvV45p4,69.028566,M
2539,2008-01-13,11:43,PM,nyBUIe2g,86.701288,H
1332,2008-01-13,12:00,PM,O0oSXVje,79.96039499999999,H
5791,2008-01-13,12:55,PM,XIYHlMOv,70.272998,H
1840,2008-01-14,01:48,AM,K8vV7Ef3,70.65991600000001,H
6151,2008-01-14,01:50,AM,ZhnBZu6M,64.768844,M
2826,2008-01-14,03:07,AM,7B52j3Ln,71.275982,H
9706,2008-01-14,06:43,AM,ktINQUni,78.182592,H
8467,2008-01-14,06:59,AM,CF1wir2x,87.911417,H
8245,2008-01-14,08:51,AM,i911m2F0,64.210779,H
5407,2008-01-14,10:22,AM,06TUJcIo,62.493453,M
6768,2008-01-14,12:14,AM,0765ufBZ,70.075067,M
2175,2008-01-14,01:34,PM,5dyYuzap,70.12406999999999,H
4585,2008-01-14,01:59,PM,aQfo1V8f,50.872763,M
7209,2008-01-14,03:18,PM,lgSSjgMe,60.721363000000004,H
2752,2008-01-14,03:26,PM,oUvPFsXn,60.266071999999994,H
845,2008-01-14,03:47,PM,thkjHzrF,64.584785,H
3012,2008-01-14,05:54,PM,5CH5hxI9,66.41171899999999,M
2550,2008-01-14,05:56,PM,sYbXTcxP,81.935548,H
6685,2008-01-14,07:18,PM,hrPsL7kE,92.45611099999999,M
3890,2008-01-14,09:46,PM,83API39T,83.923654,H
772,2008-01-14,09:49,PM,RHWGXIfn,63.32858,M
8027,2008-01-14,09:59,PM,uWGjoGpm,78.057293,M
8134,2008-01-14,11:18,PM,QEv1eJIG,77.452151,M
6591,2008-01-14,11:44,PM,dt2J6Vz4,93.94465100000001,M
8062,2008-01-14,11:53,PM,zbxp09PV,81.573125,M
6173,2008-01-15,01:09,AM,ZACEzXV6,79.767809,M
5370,2008-01-15,01:42,AM,s4mWQIUm,73.04232900000001,H
3847,2008-01-15,03:16,AM,nLAl7Izb,62.376580000000004,H
959,2008-01-15,04:17,AM,4DX8wKyj,65.797459,M
657,2008-01-15,04:32,AM,68jkmJQJ,46.911972,H
1350,2008-01-15,05:06,AM,1WhcL9SS,74.47495500000001,M
7500,2008-01-15,05:08,AM,xyNvScxo,47.314474,H
1237,2008-01-15,06:52,AM,EJAQBca3,89.056605,M
1716,2008-01-15,08:32,AM,3S0jpPNh,52.634595,M
3691,2008-01-15,08:43,AM,e33k9CQq,58.810123,M
3468,2008-01-15,09:36,AM,79Yu5eXx,60.78416800000001,M
3623,2008-01-15,11:31,AM,6IJvDrle,63.536434,M
7567,2008-01-15,12:10,AM,fbYZNkn1,75.57810500000001,M
5225,2008-01-15,12:25,AM,owCnMjqp,73.206963,M
5423,2008-01-15,01:02,PM,pK6Zo97h,45.241096,H
4467,2008-01-15,01:13,PM,Sv6zPVj4,87.178641,M
5389,2008-01-15,02:22,PM,h6piPD0h,89.562172,M
9105,2008-01-15,03:06,PM,T9ikl7DY,75.100341,M
5245,2008-01-15,03:20,PM,lZsKSGjW,92.515037,M
6476,2008-01-15,04:18,PM,dVfAB1NX,79.055622,M
9764,2008-01-15,04:23,PM,VuWWOZoM,67.103352,M
7644,2008-01-15,04:32,PM,ReUB2U62,55.060128000000006,H
9910,2008-01-15,05:11,PM,O6mRO9ug,66.054552,H
4299,2008-01-15,05:36,PM,JJg4rgIr,67.698913,M
8441,2008-01-15,06:58,PM,iV4MrHca,73.09625,M
128,2008-01-15,08:28,PM,YxYdCRLx,68.25477,H
9245,2008-01-15,10:19,PM,NhkUIA9z,67.23765999999999,M
2251,2008-01-15,10:54,PM,TS7DXrE7,91.709176,H
3764,2008-01-15,11:14,PM,Pbkyho2X,56.421013,H
9795,2008-01-15,11:41,PM,AwoFWSOQ,59.288351,M
9265,2008-01-16,02:06,AM,2OFTKez6,95.733423,H
4005,2008-01-16,04:28,AM,PVryrfgI,81.788512,M
4626,2008-01-16,06:38,AM,cqnoPFDO,85.866822,M
1112,2008-01-16,07:07,AM,twxohr8V,65.759684,M
4255,2008-01-16,07:17,AM,DjZwZMDx,59.396145,M
3538,2008-01-16,08:33,AM,SmosPR2Q,77.05751,M
2668,2008-01-16,08:37,AM,L8LYv40F,60.403526,H
9367,2008-01-16,08:43,AM,KbOQXoDP,51.720156,H
7015,2008-01-16,10:49,AM,ah7gqxGA,85.775699,H
9607,2008-01-16,11:15,AM,wEaWWiZg,77.624444,M
8967,2008-01-16,12:33,AM,vGKu82Jk,81.899622,M
4755,2008-01-16,01:29,PM,WQF3Vx3q,76.74355899999999,M
8909,2008-01-16,02:12,PM,f6XrKPfa,90.035583,H
9294,2008-01-16,02:54,PM,QwxC0DMv,80.627163,M
9461,2008-01-16,02:57,PM,HQlyqQEP,69.55040799999999,H
1674,2008-01-16,03:29,PM,qCb1Jnas,55.61831899999999,M
1365,2008-01-16,07:29,PM,LpMHDXfb,67.491982,M
3244,2008-01-16,07:39,PM,Q1VADeBy,77.355812,M
8650,2008-01-16,08:57,PM,vQO1Xo0k,81.48573,M
1046,2008-01-16,09:05,PM,YLU0DLPn,59.414519999999996,M
8038,2008-01-16,09:17,PM,trPP3rZJ,78.408521,H
9020,2008-01-16,09:28,PM,6HcSVday,52.840168999999996,H
8322,2008-01-16,10:10,PM,vwx2wpql,91.320976,H
8654,2008-01-16,10:39,PM,UUvzVSIv,63.3207,H
4997,2008-01-16,11:06,PM,VxiJWZAD,82.089805,M
301,2008-01-16,11:26,PM,7Xug9r0u,98.79360600000001,H
8987,2008-01-16,12:06,PM,F8UrFdaT,79.330422,M
3676,2008-01-16,12:35,PM,2BkSd1G5,57.548698,M
8557,2008-01-17,03:10,AM,VDNrDKH5,69.037863,M
3119,2008-01-17,03:28,AM,XQxyec6r,84.160088,H
6819,2008-01-17,07:35,AM,s3fbZPp9,82.61762399999999,H
7453,2008-01-17,09:25,AM,SBC6ZM7Q,101.849919,M
6076,2008-01-17,12:53,AM,eVOlVta6,69.137884,M
7642,2008-01-17,01:03,PM,Oo2IQMxd,72.876599,H
9027,2008-01-17,02:27,PM,MCKz8ZLL,61.414353000000006,H
1663,2008-01-17,04:15,PM,YewBxmp1,88.544664,H
3072,2008-01-17,04:34,PM,DLMjH362,79.047525,M
6654,2008-01-17,05:17,PM,Y0S2v1To,90.497404,H
2319,2008-01-17,05:19,PM,KttjolEr,60.060671,M
7221,2008-01-17,05:24,PM,d0mSzdRv,73.287188,M
2352,2008-01-17,05:57,PM,5wzeCtax,70.946665,H
6787,2008-01-17,06:36,PM,Xo1TKsOZ,54.490142000000006,M
932,2008-01-17,07:55,PM,yRNZKZTz,81.28354499999999,H
7714,2008-01-17,08:08,PM,98FSHzA7,84.363054,M
1799,2008-01-17,08:29,PM,2yPwqpOb,73.928095,M
5651,2008-01-17,10:03,PM,18f8SZzJ,61.531649,M
5224,2008-01-17,10:40,PM,lmooBPDO,55.879571,H
8465,2008-01-17,10:49,PM,E9paTlj4,68.217431,M
